_index,_index_f1,start,end,Form 2: This form is regarding water quality and solid waste,Section 1: General information and safety ,safety,team_code,rhs_lhs,location,lat,long,Section 2. The next set of questions will be related to water quality  and stormwater connections. ,,,inlets,inlets_pic,,unauthorised_inlets,unauthorised_inlets_pic,,observations,water_stagnant,water_contamination,water_colour,water_turbidity,water_smell,water_pic,,Section 3. Next set of questions are about solid waste and clean up efforts.,sw_inside,sw_inside_type,sw_inside_source,sw_inside_pic,,sw_outside,sw_outside_type,sw_outside_source,sw_outside_pic,,sw_clean_up,,,,community_engagement,,,,,,community_engagement_pic,,outdated,,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,outdated,_tags,meta/rootUuid,_drain,_drain_secondary,_team_name
_index_old,_index_new,start,end,,,_1_1_Your_safety_is_our_priority,_1_2_Team_code,_1_3_Enter_Right_hand_as_per_the_My_Maps,_1_4_Record_your_curr_lways_select_precise,,,,,,_2_1_Do_you_see_storm_onnecting_to_the_SWD,_2_2_Take_a_picture_o_r_connections_inlets,,_2_3_Can_you_see_any_ts_connecting_to_SWD,_2_4_Please_take_a_pi_d_connections_inlets,,_2_5_Any_other_observ_tion_please_specify,_2_6_Is_the_water_stagnant_or_flowing,_2_7_Signs_of_contami_n_visible_indicators,_2_8_How_would_you_de_ibe_the_water_colour,_2_9_How_would_you_describe_the_turbidity,_2_10_How_would_you_d_ribe_the_odour_smell,water_turbidity_pic,,,_3_1_Is_there_solid_waste_inside_the_SWD,_3_2_Type_of_solid_wa_Based_on_observation,_3_3_Likely_source_of_waste,_3_4_Click_an_image_o_waste_inside_the_SWD,,_3_5_Is_there_solid_w_ste_outside_the_SWD,_3_6_Type_of_waste_ou_Based_on_observation,_3_7_Likely_source_of_aste_outside_the_SWD,_3_8_Click_a_image_of_aste_outside_the_SWD,,_3_9_Are_there_signs_of_clean_up_effort,,,,_3_10_Are_there_any_s_community_engagement,,,,,,_3_11_Please_take_a_p_community_engagement,,Thank_you_for_filling_the_audit_form,_id,_uuid,_submission_time,,_notes,_status,_submitted_by,__version__,_tags,meta/rootUuid,_drain,,_team_name
291,308,2026-04-08T16:34:38.777+05:30,2026-04-08T16:37:06.505+05:30,,,"No, I do not feel safe. I will stop the audit at this point. ",A44,Right hand side (RHS),"13.0090515, 77.5285288",13.0090515,77.5285288,,,,Cannot see,,,Yes,1775646368082.jpg,,No ,Flowing,Black or grey water,Black,Clear,Less odour (I am able to stand near the SWD),1775646368082.jpg,,,Yes,Household (mostly),Houses ,1775646406061.jpg,,No,No waste,,,,Not applicable,,,,Not applicable,,,,,,,,OK,719187424,fc722398-9b82-455b-94f3-c02db4bb7140,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:fc722398-9b82-455b-94f3-c02db4bb7140,V200,,MSRIT
292,312,2026-04-08T16:40:21.481+05:30,2026-04-08T16:43:45.779+05:30,,,"Yes, I feel safe to conduct the audit",A44,Right hand side (RHS),"13.0094899, 77.528099",13.0094899,77.528099,,,,Cannot see,,,Cannot see,,,,Flowing,Black or grey water,Black,Clear,Less odour (I am able to stand near the SWD),,,,Yes,Household (mostly),Houses,1775646785542.jpg,,Yes,Household (mostly),Houses,1775646811591.jpg,,No,,,,Not applicable,,,,,,,,OK,719187483,bba649b5-11e9-4561-aaca-10abc5372692,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:bba649b5-11e9-4561-aaca-10abc5372692,V200,,MSRIT
293,305,2026-04-08T15:28:47.881+05:30,2026-04-08T15:36:20.541+05:30,,,"Yes, I feel safe to conduct the audit",A40,Right hand side (RHS),"13.0091523, 77.5352465",13.0091523,77.5352465,,,,yes,1775642508173.jpg,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719187498/attachments/attDZGbFv47CC54ioBUXPnwg/,Yes,1775642535345.jpg,,There are residential spaces near the kaluve which connects the wall of the kaluve,Flowing,Solid Particles Or Oily Film On Water,Greenish,Cloudy,Less odour (I am able to stand near the SWD),1775642665782.jpg,,,Yes,Household (mostly),Household with many manholes,1775642697654.jpg,,Yes,Household (mostly),There is no sourxe,1775642756703.jpg,,Yes,,,,Not applicable,,,,,,1775642774680.jpg,,OK,719187498,a237473d-b5e9-489e-8772-79fe3e0d5d21,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:a237473d-b5e9-489e-8772-79fe3e0d5d21,,V202,MSRIT
294,306,2026-04-08T15:45:18.508+05:30,2026-04-08T15:48:44.438+05:30,,,"No, I do not feel safe. I will stop the audit at this point. ",A40,Left hand side (LHS),"13.0060215, 77.53229",13.0060215,77.53229,,,,Cannot see,,,Cannot see,,,Cannot see anything,Cannot see,Cannot See,Cannot see,Cannot see,No Odour,,,,Cannot See,Cannot See,Ppl throw the waste into the kaluve,,,No,No waste,Cannot see,,,Not applicable,,,,Not applicable,,,,,,,,OK,719187586,89913fc5-6423-493f-b9e9-16da96834985,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:89913fc5-6423-493f-b9e9-16da96834985,,V202,MSRIT
295,309,2026-04-08T15:55:51.036+05:30,2026-04-08T15:59:41.666+05:30,,,"Yes, I feel safe to conduct the audit",A40,Left hand side (LHS),"13.0075235, 77.5301046",13.0075235,77.5301046,,,,no,1775644008222.jpg,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719187657/attachments/attmPPECdTwEyXyWv2qsckjU/,Yes,1775644025468.jpg,,"There are manholes , residents can throw waste from their balcony itself",Flowing,Solid Particles Or Oily Film On Water,Black,Opaque,Strong Smell  Not Necessarily Sewage,1775644086850.jpg,,,Yes,Household (mostly),Residents,1775644134066.jpg,,Yes,Household (mostly),Residents ,1775644155317.jpg,,Not applicable,,,,Not applicable,,,,,,1775644177712.jpg,,OK,719187657,74d8a739-3eb7-4b9a-b920-338bf4976c2e,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:74d8a739-3eb7-4b9a-b920-338bf4976c2e,V200,,MSRIT
296,310,2026-04-08T16:01:40.139+05:30,2026-04-08T16:05:28.172+05:30,,,"Yes, I feel safe to conduct the audit",A40,Left hand side (LHS),"13.0078699, 77.530484",13.0078699,77.530484,,,,yes,1775644370670.jpg,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719187807/attachments/att8LYWtHJuA5jde4gHd2sTy/,No,1775644402958.jpg,,The buildings pipes are exposed to kaluvee,Flowing,Black or grey water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1775644453724.jpg,,,Yes,Household (mostly),Household,1775644480449.jpg,,Yes,Commercial (mostly),Commercial,1775644501592.jpg,,No,,,,Not applicable,,,,,,1775644523985.jpg,,OK,719187807,0891065b-4b94-48a6-8032-19a60180f4b5,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:0891065b-4b94-48a6-8032-19a60180f4b5,V200,,MSRIT
297,311,2026-04-08T16:08:15.705+05:30,2026-04-08T16:12:32.495+05:30,,,"Yes, I feel safe to conduct the audit",A40,Left hand side (LHS),"13.0087858, 77.5303791",13.0087858,77.5303791,,,,no,1775644779195.jpg,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719188009/attachments/attuf5VKT9LKqvhbbniiL7rw/,Yes,1775644846566.jpg,,There is a random ramp leading inside ,Stagnant,Black or grey water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1775644879315.jpg,,,Yes,Household (mostly),Commercial,1775644908567.jpg,,Yes,Commercial (mostly),Commercial,1775644928116.jpg,,No,,,,Not applicable,,,,,,1775644944353.jpg,,OK,719188009,4d6affd4-efd0-4133-97dd-1e280daf894f,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:4d6affd4-efd0-4133-97dd-1e280daf894f,V200,,MSRIT
298,314,2026-04-08T16:17:04.589+05:30,2026-04-08T16:20:10.328+05:30,,,"Yes, I feel safe to conduct the audit",A40,Left hand side (LHS),"13.0089871, 77.5294347",13.0089871,77.5294347,,,,yes,1775645272687.jpg,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719188107/attachments/attcu5WEiGjrFJq6hJsmxwne/,Yes,1775645297711.jpg,,Lot of vegetation,Flowing,Black or grey water,Black,Cloudy,No Odour,1775645336890.jpg,,,Yes,Household (mostly),Household,1775645359684.jpg,,No,No waste,Residential,,,No Yes,,,,Not applicable,,,,,,1775645403909.jpg,,OK,719188107,cf645cdc-eaeb-4fc4-a262-8d4e7c87aaea,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:cf645cdc-eaeb-4fc4-a262-8d4e7c87aaea,V200,,MSRIT
299,315,2026-04-08T16:23:44.255+05:30,2026-04-08T16:26:36.861+05:30,,,"Yes, I feel safe to conduct the audit",A40,Left hand side (LHS),"13.009665, 77.5281653",13.009665,77.5281653,,,,yes,1775645666292.jpg,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719188202/attachments/att8KdD3FKAwNWBWxwNGJ634/,Yes,1775645682887.jpg,,There are residential buildings very close with kaluve,Flowing,Black or grey water,Black,Cloudy,Less odour (I am able to stand near the SWD),1775645721642.jpg,,,Yes,Household (mostly),Plastic,1775645721642.jpg,,Yes,Household (mostly),Construction waste,1775645770935.jpg,,Not applicable,,,,Not applicable,,,,,,1775645779987.jpg,,OK,719188202,77711e4b-ef73-4162-8cbd-53363ffa44aa,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:77711e4b-ef73-4162-8cbd-53363ffa44aa,V200,,MSRIT
300,316,2026-04-08T14:55:30.261+05:30,2026-04-08T15:12:23.146+05:30,,,"Yes, I feel safe to conduct the audit",A41,Right hand side (RHS),"13.0151174, 77.5366006",13.0151174,77.5366006,,,,no,,,No,,,"Colour of the water is greyish black, flow of water is gentle. No inlets are visible.",Flowing,Solid Particles Or Oily Film On Water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1775641007660.jpg,,,Yes,Household (mostly),Households,1775641224171.jpg,,Yes,Household (mostly),Households,1775641277713.jpg,,No,,,,Not applicable,,,,,,,,OK,719193519,bb28c296-18cb-4928-8de5-30c2273eba93,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:bb28c296-18cb-4928-8de5-30c2273eba93,,V205,MSRIT
301,317,2026-04-08T15:21:42.569+05:30,2026-04-08T15:31:43.352+05:30,,,"Yes, I feel safe to conduct the audit",A41,Right hand side (RHS),"13.008347, 77.5348539",13.008347,77.5348539,,,,yes,1775642153096.jpg,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719193565/attachments/atte4w6jocYGQthbkttgcnZc/,Yes,1775642169609.jpg,,Multiple outlets ,Flowing,Solid Particles Or Oily Film On Water,Greenish,Opaque,Less odour (I am able to stand near the SWD),1775642394622.jpg,,,Yes,Mixed,"Households, shops",1775642448322.jpg,,No,No waste,,,,No,,,,Not applicable,,,,,,,,OK,719193565,5894cdf0-bd6e-4adf-9491-27e3b388e0df,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:5894cdf0-bd6e-4adf-9491-27e3b388e0df,,V202,MSRIT
302,318,2026-04-08T15:39:58.441+05:30,2026-04-08T15:49:53.675+05:30,,,"Yes, I feel safe to conduct the audit",A41,Right hand side (RHS),"13.0055944, 77.5313261",13.0055944,77.5313261,,,,yes,1775643222234.jpg,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719193642/attachments/attN768FUR5Kzh7jdDULemSC/,Yes,1775643345224.jpg,,Multiple illegal outlets from houses,Flowing,Black or grey water,Greenish,Opaque,Less odour (I am able to stand near the SWD),1775643483293.jpg,,,Yes,Household (mostly),Households ,1775643523657.jpg,,No,No waste,,,,Yes,,,,Plants,,,,,,1775643586910.jpg,,OK,719193642,6b582a2d-bf73-4ea2-a383-50fe2aab882b,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:6b582a2d-bf73-4ea2-a383-50fe2aab882b,,V202,MSRIT
303,319,2026-04-08T15:59:08.867+05:30,2026-04-08T16:04:45.547+05:30,,,"Yes, I feel safe to conduct the audit",A41,Right hand side (RHS),"13.0068784, 77.529914",13.0068784,77.529914,,,,no,,,Yes,1775644265515.jpg,,,Flowing,Solid Particles Or Oily Film On Water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1775644345512.jpg,,,Yes,Mixed,"Households mainly , some commercial ",1775644428272.jpg,,Yes,Household (mostly),Housholds,1775644470614.jpg,,No,,,,Not applicable,,,,,,,,OK,719193784,de996d58-fc19-4a60-99aa-49d805233c1f,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:de996d58-fc19-4a60-99aa-49d805233c1f,V200,,MSRIT
304,320,2026-04-08T16:15:29.684+05:30,2026-04-08T16:20:10.704+05:30,,,"Yes, I feel safe to conduct the audit",A41,Right hand side (RHS),"13.0050326, 77.5294692",13.0050326,77.5294692,,,,yes,1775645190322.jpg,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719193884/attachments/attU7F2gYXgAoQSUwddicC2d/,No,,,Rapid flow of water,Flowing,Black or grey water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1775645333753.jpg,,,Yes,Household (mostly),Households nearby,1775645375077.jpg,,Yes,Household (mostly),Households ,1775645397024.jpg,,No,,,,Not applicable,,,,,,,,OK,719193884,f802567f-9459-4d14-a732-3b3382234e81,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:f802567f-9459-4d14-a732-3b3382234e81,V200,,MSRIT
305,321,2026-04-08T16:28:42.769+05:30,2026-04-08T16:35:50.113+05:30,,,"Yes, I feel safe to conduct the audit",A41,Right hand side (RHS),"13.0032106, 77.5289021",13.0032106,77.5289021,,,,yes,1775646153551.jpg,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719193986/attachments/attwAi3p6zPsVgdM7FGzs2Wu/,Yes,1775646190112.jpg,,Houses touching retaining walls,Flowing,Black or grey water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1775646260344.jpg,,,Yes,Mixed,Commercial and households ,1775646291302.jpg,,Yes,Household (mostly),Households ,1775646324631.jpg,,No,,,,Not applicable,,,,,,,,OK,719193986,816d991b-98bb-4280-9975-69a873f5fd92,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:816d991b-98bb-4280-9975-69a873f5fd92,V200,,MSRIT
306,322,2026-04-08T16:42:20.126+05:30,2026-04-08T16:50:19.165+05:30,,,"Yes, I feel safe to conduct the audit",A41,Right hand side (RHS),"13.0008997, 77.5277556",13.0008997,77.5277556,,,,yes,1775647035650.jpg,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719194104/attachments/attZ4uQS5rYyt8ZEvwgYDwrx/,Yes,1775647052551.jpg,,Multiple storm water drains,Flowing,Black or grey water,Greenish,Opaque,Strong smell of sewage (unable to stand near the SWD),1775647100291.jpg,,,Yes,Household (mostly),Households ,1775647128399.jpg,,No,No waste,,,,No,,,,Plants Idols,,,,,,1775647213637.jpg,,OK,719194104,fe77d6b4-410a-429a-a42d-fe90e7087eb8,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:fe77d6b4-410a-429a-a42d-fe90e7087eb8,V200,,MSRIT
307,324,2026-04-08T14:58:51.065+05:30,2026-04-08T15:10:02.868+05:30,,,"Yes, I feel safe to conduct the audit",A48,Right hand side (RHS),"13.0064847, 77.5330749",13.0064847,77.5330749,,,,yes,1775640960630.jpg,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719196990/attachments/attQvk98ACUfDeC59zS2rUtg/,Cannot see,,,Filled with trash,Stagnant,Black or grey water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1775641093736.jpg,,,Yes,Mixed,Household,1775641153063.jpg,,Yes,Mixed,Household and shops nearby,1775641180998.jpg,,No,,,,Not applicable,,,,,,,,OK,719196990,2b7cee31-6ed8-4186-8577-2a958fbb5ed5,08-04-2026,no,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:2b7cee31-6ed8-4186-8577-2a958fbb5ed5,V200,,MSRIT
308,325,2026-04-08T15:27:35.515+05:30,2026-04-08T15:29:56.157+05:30,,,"Yes, I feel safe to conduct the audit",A48,Left hand side (LHS),"13.0057025, 77.5317392",13.0057025,77.5317392,,,,yes,,,Cannot see,,,,Stagnant,Black or grey water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),,,,Yes,Mixed,Houshold ,,,Yes,Mixed,Household ,1775642382660.jpg,,No,,,,Not applicable,,,,,,,,OK,719197108,81d7e254-3852-4eb5-9b24-6a2367580bf7,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:81d7e254-3852-4eb5-9b24-6a2367580bf7,,V202,MSRIT
309,326,2026-04-08T15:48:32.021+05:30,2026-04-08T15:51:22.416+05:30,,,"Yes, I feel safe to conduct the audit",A48,Left hand side (LHS),"13.0040981, 77.5293365",13.0040981,77.5293365,,,,yes,1775643545064.jpg,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719197187/attachments/attdayoBNZiYA8HCRyPtiDHD/,Yes,1775643584829.jpg,,,Stagnant,Black or grey water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1775643584829.jpg,,,Yes,Mixed,Mixed sources,1775643641127.jpg,,Yes,Household (mostly),Household,1775643665743.jpg,,No,,,,Not applicable,,,,,,,,OK,719197187,3443ad31-55a2-4863-a35c-1312232f12f6,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:3443ad31-55a2-4863-a35c-1312232f12f6,V200,,MSRIT
310,327,2026-04-08T16:01:33.226+05:30,2026-04-08T16:03:14.752+05:30,,,"Yes, I feel safe to conduct the audit",A48,Right hand side (RHS),"13.0015201, 77.5282673",13.0015201,77.5282673,,,,no,,,Yes,1775644358018.jpg,,,Stagnant,Black or grey water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1775644358018.jpg,,,Yes,Mixed,Household ,,,No,No waste,,,,Not applicable,,,,Not applicable,,,,,,,,OK,719197248,64b91257-2765-4dcc-8275-63f6442b9784,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:64b91257-2765-4dcc-8275-63f6442b9784,V200,,MSRIT
311,328,2026-04-08T16:12:06.457+05:30,2026-04-08T16:14:03.867+05:30,,,"Yes, I feel safe to conduct the audit",A48,Right hand side (RHS),"12.999204, 77.5271211",12.999204,77.5271211,,,,no,,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719197300/attachments/attqui3taMd2zdH6Ud4zpAzx/,No,,,,Stagnant,Black or grey water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1775645004081.jpg,,,Yes,Mixed,,,,Yes,Mixed,Mixed ,1775645033952.jpg,,No,,,,Not applicable,,,,,,,,OK,719197300,551b9bc6-e3e5-4150-8b5c-b9d7a7d8f89e,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:551b9bc6-e3e5-4150-8b5c-b9d7a7d8f89e,V200,,MSRIT
312,323,2026-04-08T16:28:31.493+05:30,2026-04-08T16:34:53.763+05:30,,,"Yes, I feel safe to conduct the audit",A48,Left hand side (LHS),"13.0102982, 77.5366006",13.0102982,77.5366006,,,,no,,,No,,,None,Stagnant,Black or grey water,Milky,Cloudy,Less odour (I am able to stand near the SWD),1775646193879.jpg,,,Yes,Household (mostly),Household,1775646227307.jpg,,No,No waste,NA,,,Not applicable,,,,Not applicable,,,,,,,,OK,719197329,3ae0ed8f-1eaa-4b0d-92d2-73a69effca79,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:3ae0ed8f-1eaa-4b0d-92d2-73a69effca79,,V202,MSRIT
313,329,2026-04-08T14:49:18.382+05:30,2026-04-08T15:15:43.089+05:30,,,"Yes, I feel safe to conduct the audit",A44,Right hand side (RHS),"13.0118676, 77.535911",13.0118676,77.535911,,,,no,,,No,,,,Flowing,Black or grey water,Black,Opaque,Strong Smell  Not Necessarily Sewage,1775641432897.jpg,,,No,No waste,,,,No,No waste,,,,No,,,,Plants,,,,,,1775641536513.jpg,,OK,719199056,823e2d9f-0f64-4da6-b7ca-2c19c305496e,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:823e2d9f-0f64-4da6-b7ca-2c19c305496e,,V205,MSRIT
314,330,2026-04-08T15:52:51.278+05:30,2026-04-08T15:56:49.165+05:30,,,"Yes, I feel safe to conduct the audit",A43,Left hand side (LHS),"13.0065413, 77.5332652",13.0065413,77.5332652,,,,yes,1775643858196.jpg,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719199155/attachments/attppasyJdsmENo976bHdtUD/,No,,,,Stagnant,Solid Particles Or Oily Film On Water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1775643934685.jpg,,,Yes,Household (mostly),Household ,1775643957871.jpg,,No,No waste,,,,Not applicable,,,,Plants,,,,,,1775644001343.jpg,,OK,719199155,fa391fa7-7507-42ff-9f88-2046c5d68b0f,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:fa391fa7-7507-42ff-9f88-2046c5d68b0f,,V202,MSRIT
315,331,2026-04-08T16:06:05.235+05:30,2026-04-08T16:09:06.943+05:30,,,"Yes, I feel safe to conduct the audit",A43,Right hand side (RHS),"13.0058432, 77.5304458",13.0058432,77.5304458,,,,no,,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719199236/attachments/attK9Lo4ddQcDZCxHuxU4Pvs/,Yes,1775644617954.jpg,,,Flowing,Black or grey water,Greenish,Cloudy,Less odour (I am able to stand near the SWD),1775644674275.jpg,,,Yes,Construction Debris,Construction ,1775644704524.jpg,,Yes,Construction Debris,Construction ,1775644725648.jpg,,Yes,,,,Not applicable,,,,,,,,OK,719199236,887d04b5-c37b-484c-95b1-8a70fd2e68f2,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:887d04b5-c37b-484c-95b1-8a70fd2e68f2,,V202,MSRIT
316,332,2026-04-08T16:18:23.555+05:30,2026-04-08T16:23:28.699+05:30,,,"Yes, I feel safe to conduct the audit",A43,Right hand side (RHS),"13.0060782, 77.5297929",13.0060782,77.5297929,,,,no,,,Yes,1775645425929.jpg,,Very unsafe ,Flowing,Solid Particles Or Oily Film On Water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1775645525496.jpg,,,Yes,Household (mostly),Commercial ,1775645568330.jpg,,Yes,Household (mostly),Mixed,1775645597603.jpg,,No,,,,Not applicable,,,,,,,,OK,719199414,38ba2114-2583-4347-be92-bb4d8c5e3a73,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:38ba2114-2583-4347-be92-bb4d8c5e3a73,V200,,MSRIT
317,333,2026-04-08T16:39:15.180+05:30,2026-04-08T16:42:16.871+05:30,,,"Yes, I feel safe to conduct the audit",A43,Left hand side (LHS),"13.0036256, 77.5289923",13.0036256,77.5289923,,,,no,,,No,,,,Flowing,Black or grey water,Black,Cloudy,Less odour (I am able to stand near the SWD),1775646676580.jpg,,,Yes,Mixed,,1775646694320.jpg,,Yes,Construction Debris,,1775646718562.jpg,,No,,,,Not applicable,,,,,,1775646731814.jpg,,OK,719199845,0219546e-1425-4243-b80d-704e797a7e47,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:0219546e-1425-4243-b80d-704e797a7e47,V200,,MSRIT
318,334,2026-04-08T16:53:23.252+05:30,2026-04-08T16:56:20.756+05:30,,,"Yes, I feel safe to conduct the audit",A43,Right hand side (RHS),"13.0014737, 77.5277912",13.0014737,77.5277912,,,,yes,1775647549971.jpg,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719200120/attachments/attGCqJr8sE87Pr9CPZLU5oG/,No,,,,Flowing,Black or grey water,Black,Cloudy,Strong smell of sewage (unable to stand near the SWD),1775647534914.jpg,,,Yes,Mixed,,1775647549971.jpg,,No,No waste,,,,Not applicable,,,,Not applicable,,,,,,,,OK,719200120,8edcb37e-bc7b-4ff4-83c5-18817945b387,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:8edcb37e-bc7b-4ff4-83c5-18817945b387,V200,,MSRIT
319,286,2026-04-08T16:34:03.923+05:30,2026-04-08T16:41:08.601+05:30,,,"No, I do not feel safe. I will stop the audit at this point. ",A42,Left hand side (LHS),"13.005785, 77.5309117",13.005785,77.5309117,,,,Cannot see,,,Cannot see,,,The retaining wall is too high for us to see any details,Cannot see,Cannot See,Cannot see,Cannot see,Less odour (I am able to stand near the SWD),,,,Cannot See,Cannot See,From the surrounding building the waste seems to household ,,,No,No waste,,,,Not applicable,,,,Not applicable,,,,,,,,OK,719227668,42383bcc-7a20-4624-85fd-eda1b9ab9f35,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:42383bcc-7a20-4624-85fd-eda1b9ab9f35,,V202,MSRIT
320,287,2026-04-08T16:56:30.170+05:30,2026-04-08T17:02:46.978+05:30,,,"Yes, I feel safe to conduct the audit",A42,Left hand side (LHS),"13.0068967, 77.530025",13.0068967,77.530025,,,,no,,https://kf.kobotoolbox.org/api/v2/assets/a2zZGkaqMaKSbmAkp5SgQ6/data/719227742/attachments/attWYC5fXCFEqj7wKk8iyCyd/,Yes,1775647724542.jpg,,"There is alot of plastic garbage,solid waste, plant waste",Flowing,Black or grey water,Black,Opaque,Strong Smell  Not Necessarily Sewage,1775647839992.jpg,,,Yes,Mixed,Plastic from household ,1775647900326.jpg,,Yes,Household (mostly),Household plastics,1775647953340.jpg,,No,,,,Not applicable,,,,,,,,OK,719227742,87ac128b-2c4a-4cfe-b059-e450806ae9ba,08-04-2026,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:87ac128b-2c4a-4cfe-b059-e450806ae9ba,V200,,MSRIT
